id,path,caption
0,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_0.jpg,a person holding a cat in their hands
1,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_14.jpg,a cat is being fed by a person
2,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_15.jpg,a cat sitting on a couch with a stuffed animal
3,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_16.jpg,a cat is being fed by a person
4,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_2.jpg,a person is petting a cat on a leash
5,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_1.jpg,a cat is standing in the middle of a garden
6,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_10.jpg,a cat sitting in a garden surrounded by flowers
7,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_12.jpg,a cat is sitting in the grass near a gate
8,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_14.jpg,a cat laying on a table with a bowl of flowers
9,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_15.jpg,an orange cat laying in the grass
10,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_17.jpg,a cat with green eyes standing in the grass
11,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_2.jpg,a cat sitting in the grass near flowers
12,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_5.jpg,a black cat is standing on the ground
13,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_0.jpg,a cat jumping over a table in a room
14,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_1.jpg,a cat standing on top of a wooden stool
15,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_11.jpg,a cat sitting on a table in a kitchen
16,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_13.jpg,a cat is sitting on top of a scratching post
17,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_14.jpg,a small kitten standing on a wooden table
18,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_15.jpg,a black cat standing on a window sie
