path,caption
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_0.jpg,a person holding a cat in their hands
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_14.jpg,a cat is being fed by a person
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_15.jpg,a cat sitting on a couch with a stuffed animal
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_16.jpg,a cat is being fed by a person
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_grooming_itself_2.jpg,a person is petting a cat on a leash
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_1.jpg,a cat is standing in the middle of a garden
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_10.jpg,a cat sitting in a garden surrounded by flowers
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_12.jpg,a cat is sitting in the grass near a gate
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_14.jpg,a cat laying on a table with a bowl of flowers
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_15.jpg,an orange cat laying in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_17.jpg,a cat with green eyes standing in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_2.jpg,a cat sitting in the grass near flowers
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_in_garden_5.jpg,a black cat is standing on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_0.jpg,a cat jumping over a table in a room
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_1.jpg,a cat standing on top of a wooden stool
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_11.jpg,a cat sitting on a table in a kitchen
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_13.jpg,a cat is sitting on top of a scratching post
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_14.jpg,a small kitten standing on a wooden table
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_15.jpg,a black cat standing on a window sie
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_16.jpg,a cat sitting on a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_18.jpg,a cat standing on top of a wooden fence
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_3.jpg,a cat is climbing on a shelf
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_8.jpg,a cat sitting on top of a counter
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_0.jpg,a cat laying on top of a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_1.jpg,a cat sleeping in a cat bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_13.jpg,a cat sitting on a couch with pillows
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_14.jpg,a cat laying on a couch with a pillow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_15.jpg,a kitten sleeping on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_16.jpg,a cat laying on a chair with a pillow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_17.jpg,a black and white cat laying on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_19.jpg,a cat is laying on a red couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_2.jpg,a cat is laying on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_9.jpg,a cat laying on top of a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_0.jpg,a cat is playing with a black and white cat
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_10.jpg,a small kitten playing with a toy on a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_11.jpg,a cat playing with a toy on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_12.jpg,a cat playing with a toy on the floor
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_16.jpg,a kitten playing with a toy on a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_17.jpg,a cat sitting on a shelf next to a stuffed animal
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_4.jpg,a cat is sitting in a tunnel
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_5.jpg,a cat sitting on a table with a flower on its head
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_6.jpg,a cat looking at a chicken in a kitchen
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_7.jpg,a cat playing with a mouse on a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_9.jpg,two kittens playing with a toy on a bed
