path,caption
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_0.jpg,a person holding a cat in their hands
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_16.jpg,a cat is being fed by a person
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_2.jpg,a person is petting a cat on a leash
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_12.jpg,a cat is sitting in the grass near a gate
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_17.jpg,a cat with green eyes standing in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_5.jpg,a black cat is standing on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_1.jpg,a cat standing on top of a wooden stool
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_13.jpg,a cat is sitting on top of a scratching post
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_16.jpg,a cat sitting on a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_3.jpg,a cat is climbing on a shelf
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_lying_on_sofa_1.jpg,a cat sleeping in a cat bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_lying_on_sofa_19.jpg,a cat is laying on a red couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_11.jpg,a cat playing with a toy on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_16.jpg,a kitten playing with a toy on a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_4.jpg,a cat is sitting in a tunnel
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_5.jpg,a cat sitting on a table with a flower on its head
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_6.jpg,a cat looking at a chicken in a kitchen
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sitting_near_window_9.jpg,a cat sitting on a window sie
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_bed_14.jpg,a cat sleeping on a bed with its head on the pillow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_bed_4.jpg,a cat sleeping on a blue blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_laptop_18.jpg,a cat laying on top of a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_laptop_2.jpg,a cat is sleeping on a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_0.jpg,a cat is playing with a ball in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_10.jpg,a cat sitting on the hood of a car
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_12.jpg,a cat is sleeping on a person's lap
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_16.jpg,a cat sleeping in a pink cat bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_kitten_drinking_milk_16.jpg,a cat is laying on the ground next to a bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_street_cat_walking_2.jpg,a cat sitting on a blue bench
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_two_cats_playing_11.jpg,a cat is laying on the floor next to a speaker
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_two_cats_playing_2.jpg,a cat is sitting on a window sie
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_drinking_water_0.jpg,a dog drinking water from a metal bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_drinking_water_11.jpg,a dog with its tongue sticking out of its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_18.jpg,a black dog laying on the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_6.jpg,a black dog laying in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_8.jpg,a dog laying in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_playing_fetch_10.jpg,a dog running through the water in a lake
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_playing_fetch_18.jpg,a dog standing on the beach looking out to the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_sitting_beside_owner_3.jpg,a person sitting on a bench with a dog
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_sitting_beside_owner_7.jpg,a dog sitting on a red chair in front of a red chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_15.jpg,a dog swimming in a pool with its head above the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_19.jpg,a dog swimming in a pool with water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_4.jpg,a dog swimming in a pool with a toy in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_wearing_bandana_6.jpg,a dog wearing a colorful vest and a striped vest
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_playing_with_ball_11.jpg,a dog laying on the ground with a ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_playing_with_ball_18.jpg,a small dog playing with a ball in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_resting_in_bed_10.jpg,a small dog laying in a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_resting_in_bed_4.jpg,a white dog is laying under a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_17.jpg,a dog and a dog playing in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_3.jpg,a dog walking on a sidewalk next to a building
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_9.jpg,a dog and a dog are playing with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
