id,path,caption
0,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_0.jpg,a person holding a cat in their hands
1,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_16.jpg,a cat is being fed by a person
2,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_grooming_itself_2.jpg,a person is petting a cat on a leash
3,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_12.jpg,a cat is sitting in the grass near a gate
4,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_17.jpg,a cat with green eyes standing in the grass
5,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_in_garden_5.jpg,a black cat is standing on the ground
6,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_1.jpg,a cat standing on top of a wooden stool
7,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_13.jpg,a cat is sitting on top of a scratching post
8,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_16.jpg,a cat sitting on a chair
9,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_jumping_on_table_3.jpg,a cat is climbing on a shelf
10,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_lying_on_sofa_1.jpg,a cat sleeping in a cat bed
11,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_lying_on_sofa_19.jpg,a cat is laying on a red couch
12,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_11.jpg,a cat playing with a toy on a couch
13,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_16.jpg,a kitten playing with a toy on a bed
14,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_4.jpg,a cat is sitting in a tunnel
15,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_5.jpg,a cat sitting on a table with a flower on its head
16,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_playing_with_toy_6.jpg,a cat looking at a chicken in a kitchen
17,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sitting_near_window_9.jpg,a cat sitting on a window sie
18,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_bed_14.jpg,a cat sleeping on a bed with its head on the pillow
19,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_bed_4.jpg,a cat sleeping on a blue blanket
20,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_laptop_18.jpg,a cat laying on top of a laptop
21,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_sleeping_on_laptop_2.jpg,a cat is sleeping on a laptop
22,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_0.jpg,a cat is playing with a ball in the grass
23,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_10.jpg,a cat sitting on the hood of a car
24,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_12.jpg,a cat is sleeping on a person's lap
25,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_cat_stretching_16.jpg,a cat sleeping in a pink cat bed
26,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_kitten_drinking_milk_16.jpg,a cat is laying on the ground next to a bowl
27,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_street_cat_walking_2.jpg,a cat sitting on a blue bench
28,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_two_cats_playing_11.jpg,a cat is laying on the floor next to a speaker
29,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\cat_two_cats_playing_2.jpg,a cat is sitting on a window sie
30,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_drinking_water_0.jpg,a dog drinking water from a metal bowl
31,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_drinking_water_11.jpg,a dog with its tongue sticking out of its mouth
32,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_18.jpg,a black dog laying on the grass
33,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_6.jpg,a black dog laying in the grass
34,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_lying_on_grass_8.jpg,a dog laying in the grass
35,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_playing_fetch_10.jpg,a dog running through the water in a lake
36,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_playing_fetch_18.jpg,a dog standing on the beach looking out to the water
37,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_sitting_beside_owner_3.jpg,a person sitting on a bench with a dog
38,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_sitting_beside_owner_7.jpg,a dog sitting on a red chair in front of a red chair
